Gene names,organelle,source,name,RNA_tpm,protein_nM,Itzhak_annotation,Gingras_annotation_concordant,Gingras_annotation_NMF,Gingras_annotation_SAFE,Uniprot_curation,GO_cellular_compartment
GCDH,mitochondria,MitoCarta 3.0 score >20,"Glutaryl-CoA dehydrogenase, mitochondrial",40.84199539,293.8512087,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
GFM1,mitochondria,MitoCarta 3.0 score >20,"Elongation factor G, mitochondrial",54.4112427,509.1834181,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03061}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
GFM2,mitochondria,MitoCarta 3.0 score >20,"Ribosome-releasing factor 2, mitochondrial",38.25698033,82.25210282,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03059}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
GHITM,mitochondria,MitoCarta 3.0 score >20,Growth hormone-inducible transmembrane protein,169.7996667,174.4810481,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion inner membrane {ECO:0000269|PubMed:18417609}; Multi-pass membrane protein {ECO:0000269|PubMed:18417609}.,extracellular exosome [GO:0070062]; integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]
GLDC,mitochondria,MitoCarta 3.0 score >20,Glycine dehydrogenase,20.31782833,105.2135418,NA,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:28244183}.,glycine cleavage complex [GO:0005960]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
GLS,mitochondria,MitoCarta 3.0 score >20,"Glutaminase kidney isoform, mitochondrial",52.07969333,574.445736,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","[Isoform 1]: Mitochondrion {ECO:0000250|UniProtKB:P13264}. Cytoplasm, cytosol {ECO:0000269|PubMed:22228304}. Note=The 74-kDa cytosolic precursor is translocated into the mitochondria and processed via a 72-kDa intermediate to yield the mature 68- and 65-kDa subunits. {ECO:0000250|UniProtKB:P13264}.; [Isoform 3]: Mitochondrion {ECO:0000269|PubMed:22228304}.; [Glutaminase kidney isoform, mitochondrial 68 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}.; [Glutaminase kidney isoform, mitochondrial 65 kDa chain]: Mitochondrion matrix {ECO:0000250|UniProtKB:P13264}. Note=Produced by the proteolytic processing of the 74-kDa cytosolic precursor. {ECO:0000250|UniProtKB:P13264}.",cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; synapse [GO:0045202]
GPD2,mitochondria,MitoCarta 3.0 score >20,"Glycerol-3-phosphate dehydrogenase, mitochondrial",20.01898513,254.0261396,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion.,glycerol-3-phosphate dehydrogenase complex [GO:0009331]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
GRPEL1,mitochondria,MitoCarta 3.0 score >20,"GrpE protein homolog 1, mitochondrial",105.80782,1404.238129,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000269|PubMed:11311562}.,"mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; PAM complex, Tim23 associated import motor [GO:0001405]"
GUF1,mitochondria,MitoCarta 3.0 score >20,"Translation factor GUF1, mitochondrial",24.2081327,50.66384847,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03137}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03137}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03137}.,mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
HADH,mitochondria,MitoCarta 3.0 score >20,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",68.20484762,1690.401315,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000305|PubMed:8687463}.,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
HADHA,mitochondria,MitoCarta 3.0 score >20,"Trifunctional enzyme subunit alpha, mitochondrial",128.6908291,1433.031033,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000269|PubMed:29915090}. Mitochondrion inner membrane {ECO:0000269|PubMed:29915090}. Note=Protein stability and association with mitochondrion inner membrane do not require HADHB. {ECO:0000269|PubMed:29915090}.,mitochondrial fatty acid beta-oxidation multienzyme complex [GO:0016507]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]
HAGH,mitochondria,MitoCarta 3.0 score >20,"Hydroxyacylglutathione hydrolase, mitochondrial",54.01959367,385.3294046,Golgi,NA,NA,NA,[Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:15117945}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15117945}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]
HCCS,mitochondria,MitoCarta 3.0 score >20,Holocytochrome c-type synthase,58.70271333,558.6760599,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000305|PubMed:17033964}. Membrane {ECO:0000269|PubMed:23150584}; Lipid-anchor {ECO:0000305|PubMed:25255805, ECO:0000305|PubMed:25807930}.",membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
HIBADH,mitochondria,MitoCarta 3.0 score >20,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",32.306663,488.4091853,Mitochondrion,NA,NA,NA,Mitochondrion.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
HIBCH,mitochondria,MitoCarta 3.0 score >20,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",38.84744933,459.069916,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000250}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
HIGD2A,mitochondria,MitoCarta 3.0 score >20,"HIG1 domain family member 2A, mitochondrial",218.3576667,1574.475392,NA,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion membrane {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:22342701}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:22342701}. Mitochondrion inner membrane {ECO:0000305|PubMed:22342701}.",integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respirasome [GO:0070469]
HINT2,mitochondria,MitoCarta 3.0 score >20,"Histidine triad nucleotide-binding protein 2, mitochondrial",71.76588067,524.8869384,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:16762638, ECO:0000269|PubMed:18653718}.",cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
HSD17B8,mitochondria,MitoCarta 3.0 score >20,(3R)-3-hydroxyacyl-CoA dehydrogenase,10.06834,45.84608592,Mitochondrion,NA,NA,NA,Mitochondrion matrix {ECO:0000269|PubMed:19571038}.,mitochondrial envelope [GO:0005740]; mitochondrial matrix [GO:0005759]; plasma membrane [GO:0005886]
HSDL2,mitochondria,MitoCarta 3.0 score >20,Hydroxysteroid dehydrogenase-like protein 2,47.28582633,672.6557353,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Peroxisome {ECO:0000269|PubMed:19703561}.,membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
HSPA9,mitochondria,MitoCarta 3.0 score >20,"Stress-70 protein, mitochondrial",300.476798,4549.46447,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:22002106, ECO:0000269|PubMed:26702583}. Nucleus, nucleolus {ECO:0000269|PubMed:22002106}.",cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; MIB complex [GO:0140275]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; SAM complex [GO:0001401]
HSPD1,mitochondria,MitoCarta 3.0 score >20,"60 kDa heat shock protein, mitochondrial",1058.254112,14489.05874,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix.,cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; coated vesicle [GO:0030135]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lipopolysaccharide receptor complex [GO:0046696]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141]
IARS2,mitochondria,MitoCarta 3.0 score >20,"Isoleucine--tRNA ligase, mitochondrial",147.3522207,872.7010517,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000250}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
IBA57,mitochondria,MitoCarta 3.0 score >20,"Putative transferase CAF17, mitochondrial",26.11639933,335.0651772,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:22323289, ECO:0000269|PubMed:23462291}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
IDH2,mitochondria,MitoCarta 3.0 score >20,"Isocitrate dehydrogenase [NADP], mitochondrial",36.67333,629.1027905,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion.,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]
IDH3A,mitochondria,MitoCarta 3.0 score >20,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",146.7510094,1438.375207,Mitochondrion,NA,NA,NA,Mitochondrion.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
IDH3B,mitochondria,MitoCarta 3.0 score >20,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",137.3348997,1046.161848,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
IDH3G,mitochondria,MitoCarta 3.0 score >20,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",104.5107363,429.4447643,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:11256614}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]
IMMT,mitochondria,MitoCarta 3.0 score >20,MICOS complex subunit MIC60,109.652366,1549.682543,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000269|PubMed:25764979, ECO:0000269|PubMed:25997101}; Single-pass membrane protein {ECO:0000255}. Mitochondrion {ECO:0000269|PubMed:25781180}.",membrane [GO:0016020]; MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; SAM complex [GO:0001401]
ISCA1,mitochondria,MitoCarta 3.0 score >20,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",34.33163967,120.3286291,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:15262227, ECO:0000269|PubMed:22323289}.",cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ISCA2,mitochondria,MitoCarta 3.0 score >20,"Iron-sulfur cluster assembly 2 homolog, mitochondrial",36.57114867,147.2597695,,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:22323289}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ISCU,mitochondria,MitoCarta 3.0 score >20,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",71.42283867,172.3197332,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","[Isoform 1]: Mitochondrion {ECO:0000269|PubMed:11060020, ECO:0000269|PubMed:26702583}.; [Isoform 2]: Cytoplasm. Nucleus {ECO:0000269|PubMed:11060020}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
IVD,mitochondria,MitoCarta 3.0 score >20,"Isovaleryl-CoA dehydrogenase, mitochondrial",70.544763,274.7835656,Mitochondrion,NA,NA,NA,Mitochondrion matrix {ECO:0000250|UniProtKB:P12007}.,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]
L2HGDH,mitochondria,MitoCarta 3.0 score >20,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",27.696872,134.9645503,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:16005139}.,integral component of membrane [GO:0016021]; integral component of mitochondrial inner membrane [GO:0031305]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
LACTB,mitochondria,MitoCarta 3.0 score >20,"Serine beta-lactamase-like protein LACTB, mitochondrial",13.13842433,54.18796463,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:11551941, ECO:0000269|PubMed:19858488, ECO:0000269|PubMed:28329758}.",cytosol [GO:0005829]; mitochondrion [GO:0005739]
LARS2,mitochondria,MitoCarta 3.0 score >20,"Probable leucine--tRNA ligase, mitochondrial",54.716652,319.0281002,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000250}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
LETM1,mitochondria,MitoCarta 3.0 score >20,Mitochondrial proton/calcium exchanger protein,69.91854,756.1402031,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000269|PubMed:14706454, ECO:0000269|PubMed:15138253, ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:19797662}; Single-pass membrane protein {ECO:0000269|PubMed:14706454, ECO:0000269|PubMed:15138253, ECO:0000269|PubMed:18628306}.",integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
LETMD1,mitochondria,MitoCarta 3.0 score >20,LETM1 domain-containing protein 1,57.96119689,18.8654293,Mitochondrion,NA,NA,NA,"Mitochondrion outer membrane {ECO:0000269|PubMed:17943721, ECO:0000269|PubMed:18045496}; Single-pass membrane protein {ECO:0000269|PubMed:17943721, ECO:0000269|PubMed:18045496}.",integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
LIAS,mitochondria,MitoCarta 3.0 score >20,"Lipoyl synthase, mitochondrial",13.86438523,21.37187373,,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03123}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
LIPT2,mitochondria,MitoCarta 3.0 score >20,"Putative lipoyltransferase 2, mitochondrial",8.436583333,9.990345417,NA,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:28628643, ECO:0000269|PubMed:28757203}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
LONP1,mitochondria,MitoCarta 3.0 score >20,"Lon protease homolog, mitochondrial",91.57811229,701.6033242,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03120, ECO:0000269|PubMed:7961901}.",cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
LRPPRC,mitochondria,MitoCarta 3.0 score >20,"Leucine-rich PPR motif-containing protein, mitochondrial",108.3837868,1758.100699,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion. Nucleus, nucleoplasm. Nucleus inner membrane. Nucleus outer membrane. Note=Seems to be predominantly mitochondrial.",condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; nuclear outer membrane [GO:0005640]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]
LYRM4,mitochondria,MitoCarta 3.0 score >20,LYR motif-containing protein 4,23.48162667,89.92084081,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion. Nucleus.,L-cysteine desulfurase complex [GO:1990221]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]
LYRM7,mitochondria,MitoCarta 3.0 score >20,Complex III assembly factor LYRM7,18.89048167,1019.462441,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000269|PubMed:23168492}.,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]
MALSU1,mitochondria,MitoCarta 3.0 score >20,Mitochondrial assembly of ribosomal large subunit protein 1,99.11959667,68.21043158,Mitochondrion,NA,NA,NA,"Mitochondrion matrix {ECO:0000269|PubMed:16548050, ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22238376, ECO:0000269|PubMed:22829778, ECO:0000269|PubMed:23171548, ECO:0000305|PubMed:28892042}. Note=Colocalizes with MRPL12 and/or MRPL14. {ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22829778}.",cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
MARS2,mitochondria,MitoCarta 3.0 score >20,"Methionine--tRNA ligase, mitochondrial",19.99086667,79.36231781,Mitochondrion,NA,NA,NA,Mitochondrion matrix {ECO:0000305}.,mitochondrial matrix [GO:0005759]
MCAT,mitochondria,MitoCarta 3.0 score >20,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial",46.46319433,252.1274533,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:12882974}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
MCCC1,mitochondria,MitoCarta 3.0 score >20,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",11.49484548,77.83486007,Mitochondrion,NA,NA,NA,Mitochondrion matrix {ECO:0000269|PubMed:16023992}.,"3-methylcrotonyl-CoA carboxylase complex, mitochondrial [GO:0002169]; cytosol [GO:0005829]; methylcrotonoyl-CoA carboxylase complex [GO:1905202]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]"
MDH2,mitochondria,MitoCarta 3.0 score >20,"Malate dehydrogenase, mitochondrial",299.922796,5417.494728,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix {ECO:0000250|UniProtKB:P04636}.,cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
ME3,mitochondria,MitoCarta 3.0 score >20,"NADP-dependent malic enzyme, mitochondrial",0,NA,,NA,NA,NA,Mitochondrion matrix.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
MECR,mitochondria,MitoCarta 3.0 score >20,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",63.65101455,143.3445252,Mitochondrion,NA,NA,NA,[Isoform 1]: Mitochondrion {ECO:0000269|PubMed:12654921}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:25031892}. Nucleus {ECO:0000269|PubMed:25031892}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
MFN1,mitochondria,MitoCarta 3.0 score >20,Mitofusin-1,28.91469867,59.35401728,Mitochondrion,mitochondria,"mitochondrial outer membrane, peroxisome","mitochondrial outer membrane, peroxisome","Mitochondrion outer membrane {ECO:0000269|PubMed:12759376, ECO:0000305|PubMed:27920125}; Multi-pass membrane protein {ECO:0000305|PubMed:12759376}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:11751411}.",integral component of membrane [GO:0016021]; integral component of mitochondrial outer membrane [GO:0031307]; intrinsic component of mitochondrial outer membrane [GO:0031306]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; outer mitochondrial membrane protein complex [GO:0098799]
MICOS10,mitochondria,MitoCarta 3.0 score >20,MICOS complex subunit MIC10,262.2678727,183.9935059,NA,NA,NA,NA,"Mitochondrion inner membrane {ECO:0000269|PubMed:22114354}; Single-pass membrane protein {ECO:0000269|PubMed:22114354}. Note=The C-terminus is located in the intermembrane space (By similarity), while the location of the N-terminus has not been determined yet. As some programs predict the presence of 2 closely apposed membrane domains, it has been proposed that the protein may cross the membrane twice and that both termini may face the intermembrane space (PubMed:22114354). {ECO:0000250, ECO:0000269|PubMed:22114354}.",MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrion [GO:0005739]; SAM complex [GO:0001401]
MIPEP,mitochondria,MitoCarta 3.0 score >20,Mitochondrial intermediate peptidase,17.77203233,108.5284019,Mitochondrion,NA,NA,NA,Mitochondrion matrix.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
MPC1L,mitochondria,MitoCarta 3.0 score >20,Mitochondrial pyruvate carrier 1-like protein,0.076189333,NA,NA,NA,NA,NA,Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,integral component of mitochondrial inner membrane [GO:0031305]
MPC2,mitochondria,MitoCarta 3.0 score >20,Mitochondrial pyruvate carrier 2,71.413226,48.80815773,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion inner membrane {ECO:0000269|PubMed:22628558}; Multi-pass membrane protein {ECO:0000269|PubMed:22628558}.,integral component of mitochondrial inner membrane [GO:0031305]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
MRM1,mitochondria,MitoCarta 3.0 score >20,"rRNA methyltransferase 1, mitochondrial",13.01349374,30.67742908,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:24036117, ECO:0000269|PubMed:25009282}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
MRPL1,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L1, mitochondrial",41.34040767,489.9097418,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000250|UniProtKB:A6QPQ5, ECO:0000305|PubMed:11279069}.",cytosolic large ribosomal subunit [GO:0022625]; mitochondrial inner membrane [GO:0005743]
MRPL10,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L10, mitochondrial",71.43714633,558.091806,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.",large ribosomal subunit [GO:0015934]; mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]
MRPL11,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L11, mitochondrial",137.5995193,595.962867,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:11279069, ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.",large ribosomal subunit [GO:0015934]; mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]
MRPL12,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L12, mitochondrial",374.2683333,2927.147469,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000269|PubMed:8626705}.,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
MRPL13,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L13, mitochondrial",84.854897,453.6864348,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.",mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]; ribosome [GO:0005840]
MRPL15,mitochondria,MitoCarta 3.0 score >20,"39S ribosomal protein L15, mitochondrial",134.323616,282.698076,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.",mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
